,Unnamed: 0,Unnamed: 0.1,_id,address,ambience_rating,food_rating,rating,rest_name,review,review_length,review_title,rid,service_rating,url
10,10,10,5501b4c54b4f031faba3cfda,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"My husband and I have been going to this restaurant for over a decade. It is our favorite for a romantic dinner, special occasion, a drink at the bar while listening to the jazz trio, and Christmas Parties. Over the past 10+ years, the food, ambiance, and service has been consistently wonderful.",296,Best Steak Anywhere In Bay Area,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=11
11,11,11,5501b4c54b4f031faba3cfdb,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,4.0,4.4,Harris',Steaks were wonderful and service outstanding. Dined with my two grandkids and the presentation of the split entree was impressive.,131,Steaks were wonderful and,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=12
12,12,12,5501b4c64b4f031faba3cfdc,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,4.0,4.4,Harris',"This was our first visit to San Francisco. As avid meat eaters the chance to eat some 45 day old dry cured prime rib was a mouth watering thought. We arrived on time for our reservation and was offered the chance to dine in either the dining room or the bar dining area. We chose the dining room. The lighting was very atmospheric, the noise level was perfect busy with hubbub rather than disturbing noise.

The very next evening we returned and this time opted for the bar dining area with live music (easy piano jazz this evening) again service was superb and wait staff attentive. The same staff were on duty but different staff in each dining area. The meat was again absolutely incredible cooked exactly as ordered and oh so tender.",737,We went back the very next evening,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=13
13,13,13,5501b4c64b4f031faba3cfdd,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"GREAT STEAKS AND PRIME RIB .VERY GOOD SALADS TOO,

EVERYTHING WAS VERY GOOD,WE CAN'T WAIT TO GO BACK AGAIN...........",117,GREAT STEAKS AND PRIME RIB,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=14
14,14,14,5501b4c64b4f031faba3cfde,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,3.0,4.4,Harris',"The steak was juicy and met my expectations but the sides, appetizers, and crackers/cheese didn't wow me. There wasn't a great selection to choose from.",152,The steak was juicy and met,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=15
15,15,15,5501b4c64b4f031faba3cfe1,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,4.0,4.4,Harris',"First time at a nice steak house & I must say we are very pleased. For the price, it should come with a side salad at least. The waiter was very friendly and came to check on us often. The steak was divine and has raised the bar for what steak should taste like. The potato of the night, potato au gratin was delicious! Better than my baked potato! We had the baked Alaska which was decent, nothing special. Overall, I'd come back but prime rib a few blocks away does give it a run for it's money with the portions and alcohol portions of sweet drinks like the lemon drop.",572,First time at a nice steak,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=16
16,16,16,5501b4c74b4f031faba3cfe2,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"Chef Michael is tremendous. Best beef, great seafood, awesome service! Whisper dry martini is a must try.",105,Chef Michael is tremendous.,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=17
17,17,17,5501b4c74b4f031faba3cfe3,"2100 Van Ness AvenueSan Francisco, CA  94109",1.0,4.0,4.4,Harris',"I have love Harris's for years, but recently service has become much worse.",75,"I have love Harris's for years,",10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=18
18,18,18,5501b4c74b4f031faba3cfe4,"2100 Van Ness AvenueSan Francisco, CA  94109",2.0,2.0,4.4,Harris',"This is the fifth time I have had dinner there, not my favorite spot but my grandfather enjoys this place so I humor him. We had dinner there past Friday and my cousins steak was not cooked properly. The steak was sent back, a medium rare steak should take roughly 10 minutes-25 minutes later his steak finally arrived-we were all finished with our dinner. I jsut feel this lace does not hold a candle to Ruth's ChrisI have had one good meal there-the other times everything from the food, to the service was less then mediocre.",528,This is the fifth time I have,10,3.0,http://www.opentable.com/harris?rid=10&tab=2&page=19
19,19,19,5501b4c74b4f031faba3cfe5,"2100 Van Ness AvenueSan Francisco, CA  94109",1.0,3.0,4.4,Harris',"They cwetainly serve special aged beef which tastes rather heavenly.
General attitude of the service crew was a turn off.
They act like they are superior beings and would not come and even greet you when you go inside. At one point,after having waited around 15 minutes since nobody said hello to us, we asked the location of the bar. One man showed us the direction to the bar with his chin. Yes it was that bad. The food was surprisingly good but we just wanted to try it once. So we have no plan to go back and re-experience unnecessary arrogance.
Our waiter was a decently friendly guy which helped us enjoy the evening.
Just a simple hello or acknowlegement of our arrival would have been appreciated. Do we have to bring a celebrity with us",746,They cwetainly serve special,10,1.0,http://www.opentable.com/harris?rid=10&tab=2&page=20
20,20,20,5501b4c84b4f031faba3cfe6,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,3.0,4.4,Harris',"We have been wanting to try Harris' for a while and finally went on our recent trip to San Francisco. Overall, we were a bit disappointed. The two salads we ordered were extremely bland and we did not finish them. You wouldn't expect a spinach and bacon salad to be bland but the dressing was not even noticeable. The steaks were cooked to perfection however they were not seasoned properly and needed extra salt. Service was very good but given the high prices of the food we would not return.",494,We have been wanting to try,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=21
21,21,21,5501b4c84b4f031faba3cfe7,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"We went to Harris' after our City Hall wedding. We reserved the Library and were able to have an enjoyable dinner. The cocktails were creative and yummy, the food was absolutely delicious, and the service was excellent! I highly recommend this restaurant!",255,We went to Harris' after our,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=22
22,22,22,5501b4c84b4f031faba3cfe8,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"This place is just perfect. The perfect martini. The perfect steak. Fabulous accompaniments--potatoes, fresh vegetables, salad, bread. And the service was outstanding. Just try it some time when you want to spend a little extra for a really terrific meal in a beautiful restaurant and to get pampered by the staff. I can't say enough nice things about Harris'. It is well worth a visit.",386,This place is just perfect.,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=23
23,23,23,5501b4c84b4f031faba3cfe9,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,3.0,4.4,Harris',"My Fiance and I have been to Harris for the first time about 1-1/2 years ago and were so delighted with the food that we couldn't wait to go back. I fell in love with the Bar, very comfortable. The bartenders are the best in the whole area, enjoyed talking to Robert. I loved the way they serve martinis, very posh. Anyway, we were slightly disapointed with our steak's this time, too much fat on them and what's up with the pad of butter on top of the steak? The scalloped potatoes have always knocked my socks off however, the steak and potatoes were way too salty for both of us. I think we will try someplace else the next time we are in S.F.",646,The Bar is the best!,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=24
24,24,24,5501b4c84b4f031faba3cfea,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,2.0,4.4,Harris',Everything was good except I ordered my $54 steak med rare minus and it arrived med rare plus. Thought about sending it back but it wasn't bad enough to warrant inturpting the flo of the evening. That said a steak house in this price category should be able to get this right the first time. should,298,Everything was good except,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=25
25,25,25,5501b4c94b4f031faba3cfeb,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"Their steaks are always amazing (and huge). The porterhouse and Harris' new york are both dry-aged in-house, but all the cuts are amazing.",138,Their steaks are always amazing,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=26
26,26,26,5501b4c94b4f031faba3cfec,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,4.0,4.4,Harris',"The food was great, the server was very knowledgeable about table fare, wine, etc.",82,"The food was great, the server",10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=27
27,27,27,5501b4c94b4f031faba3cfed,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,3.0,4.4,Harris',"This is a typical high-end steak house; no more, no less. Great ambiance, but the food was slightly disappointing. The Pepper Steak was ""over-peppered"" and a little north of the requested medium rare, making for a difficult piece of meat to get excited about. My wife's medium rare veal chop was excellent. The service was nice. I am glad we went but would not go back.",369,Slightly Disappointed,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=28
28,28,28,5501b4c94b4f031faba3cfee,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"A great steak dinner!

Old School Steak House that never disappoints.",69,A Great Old School Steak House.,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=29
29,29,29,5501b4c94b4f031faba3cfef,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',The best steak I ever had. I got to come back and try the prime rob next.,73,Steak,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=30
30,30,30,5501b4ca4b4f031faba3cff0,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"We had a really pleasant Xmas eve at Harris, the resptaurant was very comfortable, very good ambiance, food was excelent, all special requests were fulfilled, the service was amazing, always smiling, patience, kind personnel.
Thanks for a great dinner.",252,We had a really pleasant Xmas,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=31
31,31,31,5501b4ca4b4f031faba3cff1,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"Outstanding! Great music, food and service. Beautiful bar area.",63,"Outstanding! Great music,",10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=32
32,32,32,5501b4ca4b4f031faba3cff2,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"Harris' delivers the goods. Top notch food, wine and service. Comfortable, relaxing
ambiance and well-trained staff anticipate diner's needs and make for an enjoyable
experience second to none in San Francisco. We've been there many times and have
never been disappointed. Live music in the bar many nights, piano stylings by
George Khouri and accompanists. Excellent martinis as well. Oh and don't forget
the butcher case by the front door for fresh cuts to take home for your grilling pleasure.",496,Harris' delivers the goods.,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=33
33,33,33,5501b4ca4b4f031faba3cff3,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,4.0,4.4,Harris',"This was a great place to celebrate our anniversary. The food was great, the staff was very helpful and courteous, and the wine list was extensive. Our waitress knew we were celebrating our anniversary and was not intrusive but miraculously appeared when we were in need of something. Amazing. Would highly recommend this restaurant to any of my friends.",354,This was a great place to,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=34
34,34,34,5501b4ca4b4f031faba3cff4,"2100 Van Ness AvenueSan Francisco, CA  94109",3.0,2.0,4.4,Harris',"The service was good but the food left a lot to be desired. We had been told that it was one of the best steaks in town. I have definitely had better. The steak was overcooked. The salad; we ordered the wedge, was horrendous. It was drendged in dressing and was not very presentable. The best part of our meal were the mashed potatoes. We were extremely disappointed with the steak. We were also extremely disappointed because there are so many steakhouses in SF to choose from and we ended up making the wrong choice. We had also mentioned on our reservation that we were celebrating our anniversary and no mention was made of it. We did not feel special.",656,The service was good but the,10,3.0,http://www.opentable.com/harris?rid=10&tab=2&page=35
35,35,35,5501b4cb4b4f031faba3cff5,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"As always, it was terrific. Birthday dinner was very special.",61,"As always, it was terrific.",10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=36
36,36,36,5501b4cb4b4f031faba3cff6,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,4.0,4.4,Harris',"Service could of been a little better. Staff forgot one of our drinks and the two wines we ordered were brought to the wrong table and then was given a Pinot my wife ordered while she was given my cabernet.  We were brought the dessert menus and were going to order something but the waitress took too long to come back and so we decided not to order because of the delay in time.

My rib eye also was not as tender and flavorful as I would have liked although I ordered it medium rare. The other person in our party who ordered it med rare said his was fine, but we noticed his was a tiny bit bigger and may have been cooked more rare.",638,Service could of been a little,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=49
37,37,37,5501b4cb4b4f031faba3cff7,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',We had an excellent and very enjoyable experience at Harris'. I will definitely return.,87,We had an excellent and very,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=37
38,38,38,5501b4cb4b4f031faba3cff8,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',Always excellent-- wonderful view and a menu that features traditional items that many other restaurants have dropped. Fish is fresh and something for everyone on the menu.,172,Always excellent-- wonderful,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=38
39,39,39,5501b4cb4b4f031faba3cff9,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"Outstanding service, amazing food and we were suprised with a birthday dessert for my girlfriend. It was a wonderful experience.",128,"Outstanding service, amazing",10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=39
40,40,40,5501b4cc4b4f031faba3cffa,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"Their beef, from prime rib, new york, sirloin, filet mignon is the best, far better than any of the steak chains I have visited. Our friends from all over the world can hardly wait to return.",191,"Their beef, from prime rib,",10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=40
41,41,41,5501b4cc4b4f031faba3cffc,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,4.0,4.4,Harris',All aspects of dinner excellent as usual at this fine dining spot.,66,All aspects of dinner excellent,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=42
42,42,42,5501b4cc4b4f031faba3cffb,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,4.0,4.4,Harris',"If you like really good steak with well prepared sides, you'll enjoy this traditional steak house. Service was friendly and professional and the restaurant has a lovely bar with live music and great cocktails. The steaks were perfectly prepared and were of the highest quality aged beef. Sides of potato and fresh vegetables were standard fare, but still a tasty addition to the meat. Sugar snap peas (the fresh vegetable selection for the evening) were cooked to perfection and not overly seasoned or buttered. The fresh whipped butter and cream cheese/cheddar spread served with crispy toasted baguette slices were a nice beginner. Overall a good dining experience-definitely not for those looking for cutting edge or trendy.",727,If you like really good steak,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=41
43,43,43,5501b4cc4b4f031faba3cffd,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',Truly excellent food and great service. Noise level a bit high and a little to energetic staff distracted from the dining experience.,133,Truly excellent food and great,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=43
44,44,44,5501b4cc4b4f031faba3cffe,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',Food and service outstanding. never disappointed when dining here.,66,Food and service outstanding.,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=44
45,45,45,5501b4cd4b4f031faba3cfff,"2100 Van Ness AvenueSan Francisco, CA  94109",2.0,2.0,4.4,Harris',"Food is OK, but this restaurant badly need innovation!",54,"Food is OK, but this restaurant",10,2.0,http://www.opentable.com/harris?rid=10&tab=2&page=45
46,46,46,5501b4cd4b4f031faba3d000,"2100 Van Ness AvenueSan Francisco, CA  94109",5.0,5.0,4.4,Harris',"Dining this past Saturday night was a ""first date"" for my friend and me. We couldn't have picked a better restaurant in the city. It was romantic and cozy and just the best food we had ever tasted. After dinner we adjourned to the cocktail lounge and enjoyed a little jazz.",273,Dining this past Saturday,10,5.0,http://www.opentable.com/harris?rid=10&tab=2&page=46
47,47,47,5501b4cd4b4f031faba3d001,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,5.0,4.4,Harris',great resturaunt for the meat and an old fashioned favorite...with plenty of room to enjoy your meal.,101,great resturaunt for the meat,10,4.0,http://www.opentable.com/harris?rid=10&tab=2&page=47
48,48,48,5501b4cd4b4f031faba3d002,"2100 Van Ness AvenueSan Francisco, CA  94109",4.0,3.0,4.4,Harris',Old world.  Not as exciting as most hip SF restaurants.  Reminds me of something I'd find in the Midwest.,105,Old world.  Not as exciting,10,3.0,http://www.opentable.com/harris?rid=10&tab=2&page=48
49,49,49,5501b4d74b4f031faba3d038,"1001 Minnesota StreetSan Francisco, CA  94107",5.0,5.0,4.3,Piccino,"This was one of the best dining experiences I've had in San Francisco. Our server, Maya was knowledgeable and friendly. She picked out great wines for us that paired perfectly with the food. Everything we ate was divine and the crowd was lively but not loud. The ambiance is lovely. I'll go back again! Thanks for a great night!",328,This was one of the best dining experien...,100033,5.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=1
50,50,50,5501b4d74b4f031faba3d039,"1001 Minnesota StreetSan Francisco, CA  94107",1.0,4.0,4.3,Piccino,"We had a reservation and arrived right on time (fairly early in the evening), but the host couldn't manage much of a welcome. He then fumbled through the menus, said nothing, didn't look at us, turned, and and walked away. Apparently, we were to follow him.

Food was delicious, but the timing was off. We were still eating our salads (quickly) and the pizzas were put down. We weren't offered a second glass of wine. Nobody checked how our meal was. We got the message: they wanted us out or simply didn't care.

It was surprising to see these issues in an established restaurant. It wasn't full and nobody was waiting. I would have expected a better host (perhaps he needed a smaller house) and better timing. Terrific food, though.",734,"1st Class Food, But...",100033,3.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=2
51,51,51,5501b4d84b4f031faba3d03a,"1001 Minnesota StreetSan Francisco, CA  94107",4.0,4.0,4.3,Piccino,"We enjoyed our experience overall. Loved the pizzas, felt the primi were a bit small for sharing. One member of the party left hungry. Meatballs excellent. Not so keen on the dandelion and bean salad. Nice wines. Fun meal out to celebrate a birthday.",250,We enjoyed our experience overall. Loved...,100033,4.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=3
52,52,52,5501b4d84b4f031faba3d03b,"1001 Minnesota StreetSan Francisco, CA  94107",4.0,3.0,4.3,Piccino,"The selection of the food was extremely interesting. Pizzas looked fantastic. We had several dishes which were not your traditional italian courses, all very interesting and deserving a return visit. Wine section was exceptional.",229,Refreshing Interpretation,100033,4.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=4
53,53,53,5501b4d84b4f031faba3d03c,"1001 Minnesota StreetSan Francisco, CA  94107",4.0,4.0,4.3,Piccino,"because they are starting to treat me quite nice!
seems like more times than not, get my little corner table with my bff.

everything is good on the menu, but we always get the margerita pizza and zeppole.

yum!",211,am i regular?,100033,5.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=5
54,54,54,5501b4d84b4f031faba3d03d,"1001 Minnesota StreetSan Francisco, CA  94107",3.0,3.0,4.3,Piccino,"Everything was done well but nothing stood out as spectacular, and lunch was pricey for what we got. Parking was difficult. It's a nice spot if you're in the neighborhood, but I'm not sure it's worth the drive over the bridge.",226,"Good, but no great.",100033,3.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=6
55,55,55,5501b4d84b4f031faba3d03e,"1001 Minnesota StreetSan Francisco, CA  94107",3.0,4.0,4.3,Piccino,"The host was difficult. I was on time for my reservation. I asked if my friend were already seated.the
Host shrugged in a ""I don't know"" sort of way. So I parked my bike and went out to look for her.
Turns out that she was seated already! No mention of it. Grrr!",262,Host was a bit difficult,100033,5.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=7
56,56,56,5501b4d84b4f031faba3d03f,"1001 Minnesota StreetSan Francisco, CA  94107",5.0,5.0,4.3,Piccino,Every item was amazingly tasty! Can't wait to return.,53,Every item was amazingly tasty!,100033,4.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=10
57,57,57,5501b4d94b4f031faba3d041,"1001 Minnesota StreetSan Francisco, CA  94107",2.0,3.0,4.3,Piccino,"Have always loved this neighborhood gem but a change of chef and staff in the kitchen has resulted in a change in atmosphere. Our last visit did not seem as satisfactory as previous ones. Indifferent staff, some unmemorable dishes and a general unfriendly feel, none of which existed in the past, lessen the charm of this place. Will give it another shot as it is in our neighborhood, and will hope for a better experience in the future.",437,Have always loved this neighborhood,100033,3.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=8
58,58,58,5501b4d94b4f031faba3d042,"1001 Minnesota StreetSan Francisco, CA  94107",5.0,5.0,4.3,Piccino,"I don't repeat many restaurants, but I've been to Cafe Piccino several times with both small and larger parties. Always delightful, the food and the service are excellent.",171,A Favorite!,100033,5.0,http://www.opentable.com/piccino?rid=100033&tab=2&page=9
59,59,59,5501b4e94b4f031faba3d099,"2240 Polk StreetSan Francisco, CA  94107",2.0,3.0,4.4,Gioia Pizzeria,"Overall a good experience, but the couple marks that it missed were too much to give this spot a high rating.  We ordered the turnips as an appetizer.  Nowhere on the menu or description did it mention that half of the dish was meat, and that the turnips were more of an accompaniment.  This was particularly unfortunate because my guest didnt eat meat.  Also, when we ordered our dinner we also ordered a small pizza to go.  We made the order at that time to ensure it would be ready when we were ready to leave.  When our check came, the pizza to go was not listed, nor was it ready.  The waiter blamed the timing on the new chef, but it seemed to me that the error was likely on his end since it wasnt on the check originally, and also for the fact that the restaurant was only half full at the peak of the evening.  So, we were left waiting for our pizza to go for another ten minutes after paying the check.  Not going to be rushing back",947,Missing the mark,100141,3.0,http://www.opentable.com/gioia-pizzeria?rid=100141&tab=2&page=1
60,60,60,5501b4e94b4f031faba3d09a,"2240 Polk StreetSan Francisco, CA  94107",4.0,4.0,4.4,Gioia Pizzeria,Great spot for an informal but unique dining experience. Food was different but very well presented and had great flavor. Would definitely go back as the menu was varied and offered choices for all tastes and restrictions.,222,Easy eating,100141,3.0,http://www.opentable.com/gioia-pizzeria?rid=100141&tab=2&page=2
61,61,61,5501b4e94b4f031faba3d09b,"2240 Polk StreetSan Francisco, CA  94107",3.0,5.0,4.4,Gioia Pizzeria,"I have liked Gioia since it opened. They have mastered the thin-crust pizza and the crust is never soggy. They have a new pork belly dish that is to die for. Pork Belly, arugula, cherries, and hazelnuts... what more could you ask for? It's delicious! I miss the original arugula salad they had, but this blew it away. Did I mention Pork Belly?

The chick-pea fritters are also very good and the sausage pizza is always yummy.",425,Pork Belly... Oh Yeah!,100141,4.0,http://www.opentable.com/gioia-pizzeria?rid=100141&tab=2&page=3
62,62,62,5501b5054b4f031faba3d12a,"59 Columbus AvenueSan Francisco, CA  94133",5.0,5.0,4.7,Caffe Macaroni,"Never need to read the Menu, Mario can read my mind as to what I want.",70,Excellent,100219,5.0,http://www.opentable.com/caffe-macaroni?rid=100219&tab=2&page=1
63,63,63,5501b5054b4f031faba3d12b,"59 Columbus AvenueSan Francisco, CA  94133",5.0,5.0,4.7,Caffe Macaroni,"As a native San Franciscan, we've known about Caffe Macaroni for decades. This place never fails to deliver service, ambiance and great food.
You have to eat upstairs for a very special treat. The stairs are pretty narrow to get up there, and if you're tall, you will have to duck ;)",283,Ask to eat upstairs,100219,5.0,http://www.opentable.com/caffe-macaroni?rid=100219&tab=2&page=2
64,64,64,5501b5054b4f031faba3d12c,"59 Columbus AvenueSan Francisco, CA  94133",4.0,5.0,4.7,Caffe Macaroni,"Caffe Macaroni is one of those restaurants I pass twice a day and never think twice about. But boy, was I wrong. This place not only had the cutest ambiance ever, but we had the whole upstairs to ourselves. The owner, who is Italian, came up personally to discuss the menu with us, and he addressed all questions and concerns we had. Honestly, I will be back. I will be back here for birthdays, normal days, special days...the al dente was cooked to perfection.",461,Italiano Autentico,100219,3.0,http://www.opentable.com/caffe-macaroni?rid=100219&tab=2&page=3
